iter	Passed	Remaining
173	2272	10789
174	2283	10763
175	2299	10767
176	2326	10818
177	2336	10791
178	2350	10780
179	2398	10924
180	2406	10890
181	2417	10864
182	2439	10892
183	2455	10889
184	2470	10883
185	2501	10946
186	2515	10937
187	2531	10933
188	2557	10974
189	2565	10938
190	2575	10910
191	2590	10903
192	2598	10865
193	2608	10838
194	2617	10805
195	2634	10808
196	2645	10782
197	2655	10755
198	2669	10746
199	2692	10768
200	2709	10770
201	2720	10746
202	2744	10776
203	2757	10760
204	2770	10743
205	2790	10753
206	2800	10727
207	2809	10697
208	2820	10674
209	2841	10689
210	2854	10675
211	2867	10657
212	2885	10662
213	2897	10642
214	2910	10624
215	2944	10689
216	2954	10662
217	2966	10640
218	2983	10641
219	3011	10677
220	3020	10646
221	3035	10636
222	3045	10611
223	3056	10589
224	3064	10554
225	3077	10538
226	3090	10522
227	3100	10497
228	3121	10508
229	3131	10482
230	3142	10461
231	3170	10496
232	3183	10481
233	3195	10459
234	3216	10471
235	3225	10441
236	3235	10417
237	3245	10390
238	3261	10386
239	3271	10359
240	3283	10340
241	3306	10356
242	3330	10374
243	3340	10351
244	3351	10328
245	3362	10306
246	3378	10298
247	3389	10276
248	3400	10257
249	3411	10234
250	3429	10234
251	3442	10217
252	3454	10198
253	3477	10213
254	3489	10193
255	3499	10171
256	3517	10169
257	3526	10142
258	3537	10120
259	3552	10109
260	3560	10080
261	3570	10056
262	3581	10036
263	3602	10043
264	3614	10023
265	3622	9995
266	3645	10007
267	3670	10024
268	3695	10042
269	3704	10017
270	3714	9992
271	3733	9992
272	3745	9973
273	3756	9952
274	3764	9925
275	3775	9903
276	3786	9882
277	3795	9856
278	3811	9849
279	3824	9834
280	3835	9813
281	3863	9836
282	3873	9814
283	3883	9791
284	3895	9772
285	3925	9799
286	3949	9811
287	3961	9792
288	3980	9793
289	3992	9774
290	4002	9752
291	4027	9765
292	4047	9766
293	4059	9748
294	4070	9728
295	4081	9707
296	4108	9724
297	4120	9705
298	4157	9746
299	4167	9723
300	4176	9697
301	4191	9688
302	4204	9671
303	4215	9652
304	4224	9626
305	4247	9633
306	4258	9613
307	4268	9590
308	4298	9612
309	4311	9596
310	4320	9572
311	4333	9556
312	4344	9534
313	4351	9507
314	4363	9489
315	4410	9546
316	4435	9556
317	4449	9543
318	4463	9528
319	4473	9506
320	4482	9482
321	4503	9482
322	4511	9455
323	4521	9433
324	4530	9409
325	4542	9391
326	4559	9384
327	4579	9382
328	4591	9364
329	4604	9348
330	4627	9352
331	4644	9344
332	4667	9349
333	4680	9332
334	4691	9312
335	4700	9289
336	4717	9280
337	4732	9268
338	4745	9252
339	4774	9268
340	4789	9256
341	4799	9233
342	4841	9273
343	4871	9289
344	4901	9306
345	4911	9283
346	4935	9286
347	4944	9264
348	4955	9243
349	4972	9234
350	4983	9213
351	4991	9189
352	5001	9167
353	5036	9190
354	5049	9173
355	5066	9164
356	5078	9147
357	5086	9121
358	5099	9105
359	5113	9091
360	5125	9071
361	5134	9049
362	5147	9032
363	5178	9048
364	5188	9026
365	5198	9004
366	5211	8988
367	5221	8967
368	5230	8944
369	5242	8926
370	5252	8905
371	5260	8881
372	5273	8865
373	5296	8865
374	5307	8845
375	5317	8824
376	5325	8800
377	5345	8796
378	5354	8773
379	5363	8751
380	5378	8738
381	5386	8713
382	5397	8694
383	5406	8672
384	5422	8661
385	5438	8651
386	5454	8639
387	5486	8654
388	5498	8635
389	5507	8615
390	5526	8607
391	5535	8585
392	5545	8565
393	5556	8545
394	5575	8539
395	5586	8520
396	5594	8497
397	5608	8483
398	5618	8463
399	5628	8443
400	5641	8426
401	5652	8408
402	5660	8385
403	5670	8365
404	5691	8360
405	5704	8345
406	5719	8333
407	5731	8316
408	5740	8295
409	5751	8277
410	5765	8262
411	5785	8257
412	5795	8237
413	5804	8215
414	5826	8213
415	5835	8192
416	5845	8172
417	5854	8151
418	5867	8135
419	5877	8115
420	5884	8093
421	5902	8083
422	5916	8071
423	5928	8053
424	5945	8043
425	5956	8025
426	5970	8012
427	6014	8037
428	6037	8036
429	6046	8014
430	6056	7995
431	6141	8074
432	6154	8059
433	6164	8039
434	6218	8077
435	6230	8059
436	6285	8097
437	6296	8079
438	6304	8056
439	6325	8051
440	6338	8034
441	6346	8012
442	6359	7996
443	6369	7975
444	6378	7954
445	6388	7935
446	6415	7936
447	6437	7931
448	6445	7910
449	6458	7894
450	6468	7874
451	6476	7852
452	6490	7837
453	6507	7826
454	6517	7807
455	6526	7786
456	6538	7769
457	6550	7752
458	6558	7730
459	6568	7710
460	6602	7719
461	6613	7701
462	6623	7682
463	6638	7668
464	6649	7650
465	6658	7629
466	6666	7609
467	6677	7590
468	6692	7577
469	6701	7557
470	6711	7538
471	6724	7522
472	6732	7500
473	6746	7486
474	6759	7470
475	6770	7453
476	6792	7447
477	6801	7427
478	6810	7407
479	6822	7390
480	6832	7372
481	6843	7354
482	6855	7337
483	6865	7318
484	6873	7298
485	6884	7281
486	6908	7277
487	6920	7261
488	6932	7244
489	6949	7233
490	6960	7215
491	6969	7196
492	6991	7189
493	6999	7169
494	7009	7150
495	7023	7137
496	7031	7116
497	7042	7099
498	7050	7079
499	7062	7062
500	7073	7045
501	7081	7024
502	7095	7011
503	7109	6996
504	7122	6981
505	7139	6970
506	7150	6953
507	7158	6933
508	7172	6918
509	7181	6900
510	7192	6882
511	7202	6864
512	7222	6856
513	7233	6839
514	7241	6819
515	7259	6809
516	7268	6790
517	7277	6771
518	7291	6758
519	7300	6739
520	7313	6724
521	7324	6706
522	7341	6695
523	7349	6676
524	7360	6659
525	7376	6647
526	7385	6628
527	7395	6610
528	7410	6597
529	7419	6579
530	7427	6560
531	7438	6543
532	7448	6526
533	7460	6510
534	7485	6505
535	7493	6487
536	7521	6485
537	7532	6468
538	7541	6449
539	7560	6440
540	7572	6424
541	7586	6410
542	7602	6398
543	7612	6381
544	7627	6368
545	7645	6357
546	7659	6343
547	7667	6324
548	7681	6310
549	7712	6310
550	7722	6293
551	7731	6275
552	7751	6265
553	7762	6249
554	7773	6232
555	7781	6214
556	7792	6198
557	7801	6179
558	7809	6161
559	7823	6147
560	7831	6128
561	7842	6112
562	7853	6096
563	7863	6079
564	7873	6061
565	7884	6045
566	7892	6027
567	7904	6012
568	7914	5995
569	7931	5983
570	7939	5964
571	7950	5948
572	7961	5932
573	7978	5921
574	7985	5902
575	7997	5886
576	8011	5873
577	8021	5856
578	8038	5844
579	8074	5847
580	8083	5829
581	8094	5813
582	8110	5801
583	8136	5795
584	8144	5777
585	8155	5761
586	8179	5755
587	8189	5738
588	8199	5721
589	8209	5705
590	8229	5695
591	8238	5678
592	8249	5662
593	8273	5655
594	8293	5644
595	8300	5626
596	8323	5618
597	8340	5606
598	8350	5589
599	8362	5574
600	8374	5559
601	8383	5542
602	8399	5529
603	8438	5532
604	8449	5516
605	8458	5499
606	8506	5507
607	8517	5491
608	8528	5475
609	8550	5466
610	8567	5454
611	8580	5439
612	8603	5431
613	8614	5415
614	8628	5401
615	8654	5395
616	8668	5380
617	8679	5365
618	8696	5352
619	8712	5339
620	8725	5325
621	8750	5317
622	8764	5303
623	8778	5289
624	8793	5276
625	8804	5260
626	8817	5245
627	8830	5230
628	8854	5222
629	8885	5218
630	8896	5202
631	8906	5186
632	8917	5170
633	8928	5154
634	8937	5137
635	8947	5121
636	8956	5103
637	8965	5086
638	8977	5071
639	8987	5055
640	8996	5038
641	9015	5027
642	9026	5011
643	9035	4994
644	9043	4977
645	9059	4964
646	9069	4948
647	9082	4933
648	9098	4920
649	9105	4903
650	9118	4888
651	9135	4875
652	9145	4859
653	9153	4842
654	9162	4826
655	9181	4814
656	9192	4799
657	9200	4782
658	9214	4768
659	9246	4763
660	9254	4746
661	9265	4730
662	9279	4716
663	9287	4699
664	9297	4683
665	9306	4667
666	9314	4650
667	9342	4643
668	9357	4629
669	9391	4625
670	9407	4612
671	9418	4597
672	9428	4581
673	9455	4573
674	9466	4557
675	9473	4540
676	9483	4524
677	9493	4508
678	9501	4492
679	9511	4475
680	9532	4465
681	9555	4455
682	9566	4439
683	9589	4430
684	9597	4413
685	9608	4397
686	9617	4381
687	9636	4370
688	9644	4353
689	9653	4337
690	9661	4320
691	9677	4307
692	9686	4291
693	9693	4274
694	9706	4259
695	9716	4243
696	9726	4228
697	9735	4212
698	9748	4197
699	9756	4181
700	9778	4171
701	9786	4154
702	9796	4138
703	9804	4122
704	9819	4109
705	9830	4093
706	9843	4079
707	9857	4065
708	9867	4049
709	9883	4036
710	9905	4026
711	9915	4010
712	9927	3996
713	9949	3985
714	9969	3973
715	9980	3958
716	10009	3950
717	10020	3935
718	10032	3920
719	10047	3907
720	10073	3897
721	10084	3883
722	10094	3867
723	10125	3860
724	10141	3846
725	10151	3831
726	10167	3818
727	10176	3802
728	10194	3789
729	10202	3773
730	10214	3758
731	10227	3744
732	10237	3729
733	10247	3713
734	10260	3699
735	10268	3683
736	10279	3668
737	10292	3654
738	10326	3647
739	10338	3632
740	10348	3617
741	10371	3606
742	10380	3590
743	10391	3575
744	10408	3562
745	10430	3551
746	10440	3536
747	10449	3520
748	10458	3504
749	10467	3489
750	10493	3479
751	10505	3464
752	10515	3449
753	10525	3434
754	10538	3419
755	10549	3404
756	10559	3389
757	10567	3373
758	10575	3357
759	10584	3342
760	10597	3328
761	10606	3312
762	10614	3296
763	10622	3281
764	10644	3269
765	10655	3254
766	10664	3239
767	10681	3226
768	10691	3211
769	10706	3197
770	10740	3190
771	10747	3174
772	10756	3158
773	10786	3149
774	10793	3133
775	10804	3118
776	10812	3103
777	10823	3088
778	10833	3073
779	10840	3057
780	10853	3043
781	10861	3027
782	10870	3012
783	10879	2997
784	10907	2987
785	10918	2972
786	10929	2957
787	10941	2943
788	10949	2928
789	10958	2912
790	10969	2898
791	10983	2884
792	10993	2869
793	11001	2854
794	11015	2840
795	11030	2826
796	11039	2811
797	11048	2796
798	11060	2782
799	11077	2769
800	11087	2754
801	11097	2739
802	11112	2726
803	11121	2711
804	11129	2696
805	11142	2682
806	11152	2667
807	11162	2652
808	11171	2637
809	11179	2622
810	11189	2607
811	11198	2592
812	11223	2581
813	11233	2566
814	11241	2551
815	11251	2537
816	11261	2522
817	11269	2507
818	11278	2492
819	11291	2478
820	11302	2464
821	11312	2449
822	11325	2435
823	11343	2422
824	11352	2408
825	11362	2393
826	11383	2381
827	11395	2367
828	11405	2352
829	11420	2339
830	11428	2324
831	11437	2309
832	11445	2294
833	11472	2283
834	11488	2270
835	11497	2255
836	11507	2241
837	11529	2228
838	11538	2214
839	11551	2200
840	11567	2187
841	11576	2172
842	11585	2157
843	11593	2142
844	11612	2130
845	11620	2115
846	11630	2100
847	11640	2086
848	11655	2073
849	11665	2058
850	11681	2045
851	11693	2031
852	11704	2016
853	11717	2003
854	11729	1989
855	11739	1974
856	11755	1961
857	11763	1946
858	11776	1933
859	11792	1919
860	11804	1905
861	11812	1891
862	11823	1876
863	11843	1864
864	11856	1850
865	11867	1836
866	11887	1823
867	11897	1809
868	11906	1794
869	11923	1781
870	11932	1767
871	11940	1752
872	11949	1738
873	11967	1725
874	11992	1713
875	12003	1699
876	12012	1684
877	12033	1672
878	12042	1657
879	12051	1643
880	12060	1629
881	12069	1614
882	12077	1600
883	12086	1586
884	12099	1572
885	12109	1558
886	12117	1543
887	12126	1529
888	12156	1517
889	12167	1503
890	12175	1489
891	12188	1475
892	12196	1461
893	12206	1447
894	12214	1433
895	12232	1419
896	12240	1405
897	12250	1391
898	12260	1377
899	12270	1363
900	12279	1349
901	12287	1335
902	12302	1321
903	12312	1307
904	12320	1293
905	12329	1279
906	12354	1266
907	12364	1252
908	12374	1238
909	12382	1224
910	12391	1210
911	12399	1196
912	12409	1182
913	12427	1169
914	12441	1155
915	12450	1141
916	12459	1127
917	12478	1114
918	12492	1101
919	12501	1087
920	12513	1073
921	12523	1059
922	12531	1045
923	12541	1031
924	12550	1017
925	12561	1003
926	12571	989
927	12588	976
928	12597	962
929	12605	948
930	12619	935
931	12627	921
932	12635	907
933	12644	893
934	12663	880
935	12672	866
936	12682	852
937	12693	838
938	12701	825
939	12715	811
940	12725	797
941	12746	784
942	12755	771
943	12763	757
944	12775	743
945	12783	729
946	12792	715
947	12801	702
948	12815	688
949	12825	675
950	12837	661
951	12849	647
952	12857	634
953	12866	620
954	12873	606
955	12893	593
956	12901	579
957	12911	566
958	12920	552
959	12932	538
960	12940	525
961	12950	511
962	12961	498
963	12971	484
964	12982	470
965	12993	457
966	13022	444
967	13044	431
968	13052	417
969	13061	403
970	13070	390
971	13083	376
972	13092	363
973	13100	349
974	13111	336
975	13120	322
976	13130	309
977	13139	295
978	13160	282
979	13173	268
980	13184	255
981	13197	241
982	13205	228
983	13214	214
984	13223	201
985	13240	188
986	13254	174
987	13263	161
988	13281	147
989	13289	134
990	13300	120
991	13309	107
992	13326	93
993	13336	80
994	13346	67
995	13360	53
996	13368	40
997	13378	26
998	13385	13
999	13402	0
